departure_delay,HourlyDryBulbTemperature_x,HourlyPrecipitation_x,HourlyStationPressure_x,HourlyVisibility_x,HourlyWindSpeed_x
-4,53,0,30,10,6
0,75,0,29.89,8,10
-2,51,0,29.04,3,8
-1,59,0,29.18,10,7
-5,60,0,30.27,10,11
-7,47,0,29.96,10,6
-10,37,0.06,29.35,5,18
-4,50,0.02,28.97,1,0
-5,43,0,28.58,10,13
0,71,0,29.5,10,9
0,57,0,30.19,9,11
-3,70,0,30.1,10,7
2,61,0.02,29.12,10,13
-4,60,0,30.29,0.25,0
4,76,0,29.35,6,7
-5,42,0,30.38,10,3
-5,66,0,28.69,10,3
-7,67,0,29.46,5,7
-3,51,0,30.01,9,6
-9,59,0,29.18,10,7
-3,59,0.27,30.21,0.25,0
-5,53,0,30.41,10,7
11,57,0,28.53,0.25,5
-3,63,0,29.17,9,8
-9,53,0,30,10,6
-5,40,0,27.52,10,10
-5,49,0,29.98,10,0
-1,57,0,29.66,10,3
-9,59,0,29.18,10,7
-11,56,0,28.85,7,3
31,71,0,29.93,5,8
0,52,0,29.33,10,5
-4,66,0,28.69,10,3
-11,60,0,30.27,10,11
-3,14,0,24.53,10,3
-6,60,0,28.86,10,8
-7,26,0,26.28,10,7
-1,63,0,29.32,9,3
-3,34,0,27.12,10,3
-3,45,0,28.88,10,5
-4,67,0,30.22,7,0
-5,43,0,29.98,10,6
48,66,0,29.08,10,9
0,75,0,28.7,5,13
-7,29,0,26.92,10,0
-5,45,0.07,29.72,10,10
-3,36,0,24.44,10,7
-10,38,0,29.13,4,8
-14,51,0,30.43,10,8
-7,54,0,30.37,10,11
1,64,0,30.1,2,3
22,43,0,29.1,0.25,7
-2,69,0,29.05,10,11
-12,68,0,29.11,10,13
18,45,0,28.88,10,5
-8,60,0,28.87,10,5
-6,41,0,28.79,10,9
-2,57,0,28.52,0.25,7
-4,72,0,29.73,10,8
-5,73,0,29.53,10,13
-2,52,0,28.52,7,7
-6,76,0,29.35,6,7
-5,64,0,30.19,5,0
0,62,0,29.2,10,8
-3,56,0,28.85,7,3
0,66,0,29.14,10,3
-4,53,0,29.98,10,6
-6,57,0,30.19,9,11
-4,46,0,29.32,8,9
-4,45,0,28.92,10,3
-1,64,0.15,29.74,10,13
-5,65,0,26.93,2,6
-3,57,0,30.19,9,11
11,60,0,30.27,10,11
2,57,0,28.53,0.25,5
-9,45,0.02,29.16,10,8
-1,66,0,29.15,8,3
-7,73,0.04,30.1,4,11
-5,47,0,29.96,10,6
-1,36,0,25.75,10,6
-2,57,0,29.03,10,5
-10,66,0,28.69,10,3
-4,72,0,30.16,10,3
-6,45,0.01,30.17,8,5
0,53,0,28.82,0.25,3
-6,40,0,25.63,10,0
4,36,0,25.63,10,5
5,61,0,27.7,10,23
-3,76,0,30,10,7
-4,66,0,29.59,5,7
-2,64,0,30.1,2,3
-9,42,0.03,28.96,6,13
-4,61,0.02,29.12,10,13
-3,64,0,29.82,10,3
-9,60,0,29.48,10,5
-6,44,0,26.92,2,8
-6,56,0,28.77,6,8
-6,67,0,29.02,10,8
-3,71,0,30.08,0.25,0
-9,70,0,29.1,10,16
